Państwo;Stolica;Powierzchnia (km²)
Afganistan;Kabul;652 230
Albania;Tirana;28 748
Algieria;Algier;2 381 741
Andora;Andora;468
Angola;Luanda;1 246 700
Antigua i Barbuda;Saint John's;435,3
Arabia Saudyjska;Rijad;2 149 690
Argentyna;Buenos Aires;2 766 890
Armenia;Erywań;29 800
Australia;Canberra;7 686 850
Austria;Wiedeń;83 871
Azerbejdżan;Baku;86 600
Bahamy;Nassau;13 940
Bahrajn;Manama;620
Bangladesz;Dhaka;144 000
Barbados;Bridgetown;431
Belgia;Bruksela;30 528
Belize;Belmopan;22 966
Benin;Porto-Novo;112 620
Bhutan;Thimphu;47 000
Białoruś;Mińsk;207 600
Boliwia;Sucre (stolica konstytucyjna), La Paz (siedziba rządu);1 098 580
Bośnia i Hercegowina;Sarajewo;51 129
Botswana;Gaborone;600 370
Brazylia;Brasilia;8 511 965
Brunei;Bandar Seri Begawan;5770
Bułgaria;Sofia;110 910
Burkina Faso;Wagadugu;274 200
Burundi;Gitega;27 830
Chile;Santiago;756 950
Chiny;Pekin;9 596 960
Chorwacja;Zagrzeb;56 542
Cypr;Nikozja;9250
Czad;Ndżamena;1 284 000
Czarnogóra;Podgorica;13 812
Czechy;Praga;78 866
Dania;Kopenhaga;43 098,31 (2 210 579 z Grenlandią i Wyspami Owczymi)
Demokratyczna Republika Konga;Kinszasa;2 344 858
Dominika;Roseau;754
Dominikana;Santo Domingo;48 730
Dżibuti;Dżibuti;23 200
Egipt;Kair;1 001 450
Ekwador;Quito;283 560
Erytrea;Asmara;121 320
Estonia;Tallinn;45 226
Eswatini;Mbabane;17 363
Etiopia;Addis Abeba;1 127 127
Fidżi;Suva;18 272
Filipiny;Manila;300 000
Finlandia;Helsinki;338 145
Francja;Paryż;675 417
Gabon;Libreville;267 667
Gambia;Bandżul;11 295
Ghana;Akra;239 460
Grecja;Ateny;131 957
Grenada;Saint George's;344
Gruzja;Tbilisi;69 700
Gujana;Georgetown;214 970
Gwatemala;Gwatemala;108 890
Gwinea;Konakry;245 857
Gwinea Bissau;Bissau;36 120
Gwinea Równikowa;Malabo;28 051,46
Haiti;Port-au-Prince;27 750
Hiszpania;Madryt;504 645
Holandia;Amsterdam (stolica konstytucyjna), Haga (stolica administracyjna);41 526
Honduras;Tegucigalpa;112 090
Indie;Nowe Delhi;3 287 590
Indonezja;Dżakarta;1 919 440
Irak;Bagdad;438 317
Iran;Teheran;1 648 195
Irlandia;Dublin;70 273
Islandia;Reykjavík;103 125
Izrael;Jerozolima;22 072
Jamajka;Kingston;10 991
Japonia;Tokio;377 835
Jemen;Sana;527 968
Jordania;Amman;92 300
Kambodża;Phnom Penh;181 040
Kamerun;Jaunde;475 440
Kanada;Ottawa;9 976 140
Katar;Doha;11 437
Kazachstan;Astana;2 717 300
Kenia;Nairobi;582 650
Kirgistan;Biszkek;198 500
Kiribati;Bairiki;811
Kolumbia;Bogota;1 139 825
Komory;Moroni;2170
Kongo;Brazzaville;342 000
Korea Południowa;Seul;99 720
Korea Północna;Pjongjang;120 540
Kostaryka;San José;51 100
Kuba;Hawana;110 860
Kuwejt;Kuwejt;17 818
Laos;Wientian;236 800
Lesotho;Maseru;30 355
Liban;Bejrut;10 452
Liberia;Monrovia;111 370
Libia;Trypolis;1 759 540
Liechtenstein;Vaduz;160
Litwa;Wilno;65 200
Luksemburg;Luksemburg;2586
Łotwa;Ryga;64 589
Macedonia Północna;Skopje;25 713
Madagaskar;Antananarywa;587 040
Malawi;Lilongwe;118 480
Malediwy;Male;300
Malezja;Kuala Lumpur;329 750
Mali;Bamako;1 240 192
Malta;Valletta;316
Maroko;Rabat;446 550
Mauretania;Nawakszut;1 030 700
Mauritius;Port Louis;2045
Meksyk;Meksyk;1 972 550
Mikronezja;Palikir;702
Mjanma;Naypyidaw;678 500
Mołdawia;Kiszyniów;33 843
Monako;Monako;1,95
Mongolia;Ułan Bator;1 564 116
Mozambik;Maputo;801 590
Namibia;Windhuk;825 418
Nauru;Yaren;21,3
Nepal;Katmandu;140 800
Niemcy;Berlin;357 114,22
Niger;Niamey;1 267 000
Nigeria;Abudża;923 768
Nikaragua;Managua;129 494
Norwegia;Oslo;324 220
Nowa Zelandia;Wellington;268 680
Oman;Maskat;309 500
Pakistan;Islamabad;803 940
Palau;Ngerulmud;508
Panama;Panama;78 200
Papua-Nowa Gwinea;Port Moresby;462 840
Paragwaj;Asunción;406 750
Peru;Lima;1 285 220
Polska;Warszawa;322 575
Południowa Afryka;Pretoria (stolica egzekutywna);1 219 912
Portugalia;Lizbona;92 391
Republika Środkowoafrykańska;Bangi;622 984
Republika Zielonego Przylądka;Praia;4033
Rosja;Moskwa;17 075 400
Rumunia;Bukareszt;238 391
Rwanda;Kigali;26 338
Saint Kitts i Nevis;Basseterre;261
Saint Lucia;Castries;616
Saint Vincent i Grenadyny;Kingstown;389
Salwador;San Salvador;21 040
Samoa;Apia;2944
San Marino;San Marino;61,6
Senegal;Dakar;196 190
Serbia;Belgrad;77 474
Seszele;Victoria;455
Sierra Leone;Freetown;71 740
Singapur;Singapur;692,7
Słowacja;Bratysława;49 035
Słowenia;Lublana;20 273
Somalia;Mogadiszu;637 700
Sri Lanka;Sri Dźajawardanapura Kotte;65 610
Stany Zjednoczone;Waszyngton;9 373 967
Sudan;Chartum;1 886 068
Sudan Południowy;Dżuba;589 745
Surinam;Paramaribo;163 270
Syria;Damaszek;185 180
Szwajcaria;brak oficjalnej stolicy, siedzibą rządu jest Berno;41 290
Szwecja;Sztokholm;449 964
Tadżykistan;Duszanbe;143 100
Tajlandia;Bangkok;514 000
Tanzania;Dodoma;945 087
Timor Wschodni;Dili;15 007
Togo;Lomé;56 785
Tonga;Nukuʻalofa;748
Trynidad i Tobago;Port-of-Spain;5128
Tunezja;Tunis;163 610
Turcja;Ankara;783 562
Turkmenistan;Aszchabad;488 100
Tuvalu;Vaiaku;26
Uganda;Kampala;236 036
Ukraina;Kijów;603 700
Urugwaj;Montevideo;176 220
Uzbekistan;Taszkent;447 400
Vanuatu;Port Vila;12 189
Watykan;Watykan;0,44
Wenezuela;Caracas;916 445
Węgry;Budapeszt;93 030
Wielka Brytania;Londyn;244 820
Wietnam;Hanoi;331 051,4
Włochy;Rzym;301 230
Wybrzeże Kości Słoniowej;Jamusukro;322 460
Wyspy Marshalla;Majuro;181
Wyspy Salomona;Honiara;28 450
Wyspy Świętego Tomasza i Książęca;São Tomé;1001
Zambia;Lusaka;752 614
Zimbabwe;Harare;390 580
Zjednoczone Emiraty Arabskie;Abu Zabi;83 600
