Państwo;Kontynent;Stolica;Powierzchnia (km²);Liczba ludności
Afganistan;Azja;Kabul;652 230;30 419 928
Albania;Europa;Tirana;28 748;3 195 000
Algieria;Afryka;Algier;2 381 741;34 178 188
Andora;Europa;Andora;468;84 525
Angola;Afryka;Luanda;1 246 700;17 312 000
Antigua i Barbuda;Ameryka Północna;Saint John's;435,3;85 420
Arabia Saudyjska;Azja;Rijad;2 149 690;28 686 633
Argentyna;Ameryka Południowa;Buenos Aires;2 766 890;40 913 584
Armenia;Azja;Erywań;29 800;3 259 100
Australia;Australia i Oceania;Canberra;7 686 850;22 343 203
Austria;Europa;Wiedeń;83 871;8 402 549
Azerbejdżan;Azja;Baku;86 600;9 493 600
Bahamy;Ameryka Północna;Nassau;13 940;307 451
Bahrajn;Azja;Manama;620;1 323 535
Bangladesz;Azja;Dhaka;144 000;162 221 000
Barbados;Ameryka Północna;Bridgetown;431;281 968
Belgia;Europa;Bruksela;30 528;10 584 534
Belize;Ameryka Północna;Belmopan;22 966;266 440
Benin;Afryka;Porto-Novo;112 620;8 295 000
Bhutan;Azja;Thimphu;47 000;682 321
Białoruś;Europa;Mińsk;207 600;9 474 200
Boliwia;Ameryka Południowa;Sucre (stolica konstytucyjna), La Paz (siedziba rządu);1 098 580;9 248 000
Bośnia i Hercegowina;Europa;Sarajewo;51 129;4 590 310
Botswana;Afryka;Gaborone;600 370;1 842 000
Brazylia;Ameryka Południowa;Brasilia;8 511 965;201 103 330
Brunei;Azja;Bandar Seri Begawan;5770;381 371
Bułgaria;Europa;Sofia;110 910;7 531 000
Burkina Faso;Afryka;Wagadugu;274 200;15 746 232
Burundi;Afryka;Gitega;27 830;8 691 000
Chile;Ameryka Południowa;Santiago;756 950;16 601 707
Chiny;Azja;Pekin;9 596 960;1 347 374 752
Chorwacja;Europa;Zagrzeb;56 542;4 437 460
Cypr;Azja;Nikozja;9250;794 600
Czad;Afryka;Ndżamena;1 284 000;10 758 945
Czarnogóra;Europa;Podgorica;13 812;672 180
Czechy;Europa;Praga;78 866;10 532 770
Dania;Europa;Kopenhaga;43 098,31 (2 210 579 z Grenlandią i Wyspami Owczymi);5 540 241
Demokratyczna Republika Konga;Afryka;Kinszasa;2 344 858;66 515 000
Dominika;Ameryka Północna;Roseau;754;72 000
Dominikana;Ameryka Północna;Santo Domingo;48 730;9 049 595
Dżibuti;Afryka;Dżibuti;23 200;506 221
Egipt;Afryka, Azja;Kair;1 001 450;80 471 869
Ekwador;Ameryka Południowa;Quito;283 560;13 928 000
Erytrea;Afryka;Asmara;121 320;5 028 000
Estonia;Europa;Tallinn;45 226;1 340 122
Eswatini;Afryka;Mbabane;17 363;1 138 227
Etiopia;Afryka;Addis Abeba;1 127 127;81 238 000
Fidżi;Australia i Oceania;Suva;18 272;849 000
Filipiny;Azja;Manila;300 000;92 681 000
Finlandia;Europa;Helsinki;338 145;5 313 026
Francja;Europa;Paryż;675 417;66 000 000
Gabon;Afryka;Libreville;267 667;1 454 867
Gambia;Afryka;Bandżul;11 295;1 690 000
Ghana;Afryka;Akra;239 460;23 000 000
Grecja;Europa;Ateny;131 957;11 216 708
Grenada;Ameryka Północna;Saint George's;344;89 258
Gruzja;Europa/Azja;Tbilisi;69 700;4 630 841
Gujana;Ameryka Południowa;Georgetown;214 970;769 095
Gwatemala;Ameryka Północna;Gwatemala;108 890;12 013 907
Gwinea;Afryka;Konakry;245 857;9 950 670
Gwinea Bissau;Afryka;Bissau;36 120;1 475 000
Gwinea Równikowa;Afryka;Malabo;28 051,46;616 459
Haiti;Ameryka Północna;Port-au-Prince;27 750;8 925 000
Hiszpania;Europa;Madryt;504 645;47 150 819
Holandia;Europa;Amsterdam (stolica konstytucyjna), Haga (stolica administracyjna);41 526;16 509 303
Honduras;Ameryka Północna;Tegucigalpa;112 090;7 325 000
Indie;Azja;Nowe Delhi;3 287 590;1 166 079 217
Indonezja;Azja;Dżakarta;1 919 440;242 968 342
Irak;Azja;Bagdad;438 317;30 399 572
Iran;Azja;Teheran;1 648 195;70 495 782
Irlandia;Europa;Dublin;70 273;4 581 269
Islandia;Europa;Reykjavík;103 125;306 694
Izrael;Azja;Jerozolima;22 072;7 653 600
Jamajka;Ameryka Północna;Kingston;10 991;2 700 000
Japonia;Azja;Tokio;377 835;126 475 664
Jemen;Azja;Sana;527 968;23 495 361
Jordania;Azja;Amman;92 300;5 759 732
Kambodża;Azja;Phnom Penh;181 040;13 388 910
Kamerun;Afryka;Jaunde;475 440;18 100 000
Kanada;Ameryka Północna;Ottawa;9 976 140;34 110 000
Katar;Azja;Doha;11 437;928 635
Kazachstan;Azja, Europa;Astana;2 717 300;15 399 437
Kenia;Afryka;Nairobi;582 650;37 953 840
Kirgistan;Azja;Biszkek;198 500;5 357 000
Kiribati;Australia i Oceania;Bairiki;811;103 092
Kolumbia;Ameryka Południowa;Bogota;1 139 825;45 730 834
Komory;Afryka;Moroni;2170;671 247
Kongo;Afryka;Brazzaville;342 000;3 756 000
Korea Południowa;Azja;Seul;99 720;50 062 000
Korea Północna;Azja;Pjongjang;120 540;22 757 275
Kostaryka;Ameryka Północna;San José;51 100;4 325 000
Kuba;Ameryka Północna;Hawana;110 860;11 424 000
Kuwejt;Azja;Kuwejt;17 818;2 597 000
Laos;Azja;Wientian;236 800;6 521 998
Lesotho;Afryka;Maseru;30 355;2 031 348
Liban;Azja;Bejrut;10 452;3 925 502
Liberia;Afryka;Monrovia;111 370;3 200 000
Libia;Afryka;Trypolis;1 759 540;6 310 434
Liechtenstein;Europa;Vaduz;160;34 761
Litwa;Europa;Wilno;65 200;3 225 346
Luksemburg;Europa;Luksemburg;2586;474 413
Łotwa;Europa;Ryga;64 589;2 224 400
Macedonia Północna;Europa;Skopje;25 713;2 061 000
Madagaskar;Afryka;Antananarywa;587 040;20 653 556
Malawi;Afryka;Lilongwe;118 480;13 600 000
Malediwy;Azja;Male;300;396 334
Malezja;Azja;Kuala Lumpur;329 750;27 730 000
Mali;Afryka;Bamako;1 240 192;12 666 987
Malta;Europa;Valletta;316;403 532
Maroko;Afryka;Rabat;446 550;34 859 364
Mauretania;Afryka;Nawakszut;1 030 700;3 250 000
Mauritius;Afryka;Port Louis;2045;1 230 602
Meksyk;Ameryka Północna;Meksyk;1 972 550;112 336 538
Mikronezja;Australia i Oceania;Palikir;702;135 000
Mjanma;Azja;Naypyidaw;678 500;53 414 374
Mołdawia;Europa;Kiszyniów;33 843;4 324 450
Monako;Europa;Monako;1,95;32 796
Mongolia;Azja;Ułan Bator;1 564 116;2 736 800
Mozambik;Afryka;Maputo;801 590;21 000 000
Namibia;Afryka;Windhuk;825 418;2 089 000
Nauru;Australia i Oceania;Yaren;21,3;14 019
Nepal;Azja;Katmandu;140 800;28 635 000
Niemcy;Europa;Berlin;357 114,22;81 772 000
Niger;Afryka;Niamey;1 267 000;15 306 252
Nigeria;Afryka;Abudża;923 768;154 729 000
Nikaragua;Ameryka Północna;Managua;129 494;5 570 000
Norwegia;Europa;Oslo;324 220;4 769 000
Nowa Zelandia;Australia i Oceania;Wellington;268 680;4 393 500
Oman;Azja;Maskat;309 500;3 312 000
Pakistan;Azja;Islamabad;803 940;176 242 949
Palau;Australia i Oceania;Ngerulmud;508;20 800
Panama;Ameryka Północna;Panama;78 200;3 293 000
Papua-Nowa Gwinea;Australia i Oceania;Port Moresby;462 840;5 932 000
Paragwaj;Ameryka Południowa;Asunción;406 750;6 670 000
Peru;Ameryka Południowa;Lima;1 285 220;29 181 000
Polska;Europa;Warszawa;322 575;38 200 037
Południowa Afryka;Afryka;Pretoria (stolica egzekutywna);1 219 912;48 783 000
Portugalia;Europa;Lizbona;92 391;10 677 000
Republika Środkowoafrykańska;Afryka;Bangi;622 984;4 370 000
Republika Zielonego Przylądka;Afryka;Praia;4033;499 796
Rosja;Azja, Europa;Moskwa;17 075 400;142 914 136
Rumunia;Europa;Bukareszt;238 391;22 215 421
Rwanda;Afryka;Kigali;26 338;10 186 000
Saint Kitts i Nevis;Ameryka Północna;Basseterre;261;38 819
Saint Lucia;Ameryka Północna;Castries;616;164 213
Saint Vincent i Grenadyny;Ameryka Północna;Kingstown;389;119 000
Salwador;Ameryka Północna;San Salvador;21 040;6 820 000
Samoa;Australia i Oceania;Apia;2944;177 714
San Marino;Europa;San Marino;61,6;31 817
Senegal;Afryka;Dakar;196 190;12 521 851
Serbia;Europa;Belgrad;77 474;7 498 001
Seszele;Afryka;Victoria;455;86 525
Sierra Leone;Afryka;Freetown;71 740;6 150 000
Singapur;Azja;Singapur;692,7;4 608 000
Słowacja;Europa;Bratysława;49 035;5 455 000
Słowenia;Europa;Lublana;20 273;2 039 399
Somalia;Afryka;Mogadiszu;637 700;9 559 000
Sri Lanka;Azja;Sri Dźajawardanapura Kotte;65 610;20 010 000
Stany Zjednoczone;Ameryka Północna;Waszyngton;9 373 967;311 280 492
Sudan;Afryka;Chartum;1 886 068;30 894 000
Sudan Południowy;Afryka;Dżuba;589 745;8 260 490 (kwestionowana)
Surinam;Ameryka Południowa;Paramaribo;163 270;476 000
Syria;Azja;Damaszek;185 180;19 748 000
Szwajcaria;Europa;brak oficjalnej stolicy, siedzibą rządu jest Berno;41 290;7 725 200
Szwecja;Europa;Sztokholm;449 964;9 331 523
Tadżykistan;Azja;Duszanbe;143 100;7 100 000
Tajlandia;Azja;Bangkok;514 000;65 493 000
Tanzania;Afryka;Dodoma;945 087;39 384 223
Timor Wschodni;Azja;Dili;15 007;1 109 000
Togo;Afryka;Lomé;56 785;5 400 000
Tonga;Australia i Oceania;Nukuʻalofa;748;119 009
Trynidad i Tobago;Ameryka Południowa;Port-of-Spain;5128;1 229 000
Tunezja;Afryka;Tunis;163 610;10 384 000
Turcja;Azja, Europa;Ankara;783 562;77 804 122
Turkmenistan;Azja;Aszchabad;488 100;5 180 000
Tuvalu;Australia i Oceania;Vaiaku;26;12 373
Uganda;Afryka;Kampala;236 036;32 369 558
Ukraina;Europa;Kijów;603 700;45 706 126
Urugwaj;Ameryka Południowa;Montevideo;176 220;3 477 779 (2008)
Uzbekistan;Azja;Taszkent;447 400;27 610 000
Vanuatu;Australia i Oceania;Port Vila;12 189;243 304
Watykan;Europa;Watykan;0,44;824
Wenezuela;Ameryka Południowa;Caracas;916 445;30 102 382
Węgry;Europa;Budapeszt;93 030;9 982 000
Wielka Brytania;Europa;Londyn;244 820;62 222 000
Wietnam;Azja;Hanoi;331 051,4;86 024 600
Włochy;Europa;Rzym;301 230;60 418 711
Wybrzeże Kości Słoniowej;Afryka;Jamusukro;322 460;18 373 000
Wyspy Marshalla;Australia i Oceania;Majuro;181;59 071
Wyspy Salomona;Australia i Oceania;Honiara;28 450;552 000
Wyspy Świętego Tomasza i Książęca;Afryka;São Tomé;1001;193 410
Zambia;Afryka;Lusaka;752 614;11 500 000
Zimbabwe;Afryka;Harare;390 580;12 383 000
Zjednoczone Emiraty Arabskie;Azja;Abu Zabi;83 600;4 621 000
